year,pound_net,drag_seine,set_net,otter_trawl,handline_troll,set_line,beam_trawl,other_gear,unknown,total,species
1921,0,0,6629,NA,40,383,80,0,NA,7132,ROCKFISH
1922,0,415,0,NA,1,2064,0,41,NA,2521,ROCKFISH
1923,0,91,0,NA,372,256,6,80,NA,805,ROCKFISH
1924,187,12,0,NA,967,0,0,0,NA,1166,ROCKFISH
1925,386,656,150,NA,403,614,22,0,NA,2231,ROCKFISH
1926,9817,6,500,NA,1210,77,15,0,NA,11625,ROCKFISH
1927,3538,0,1698,NA,4193,238,5,213,NA,9885,ROCKFISH
1928,15233,4,1050,NA,928,135,0,0,NA,17350,ROCKFISH
1929,11385,137,1690,NA,1342,655,372,12,NA,15593,ROCKFISH
1930,1942,293,2152,NA,4231,355,24,0,NA,8997,ROCKFISH
1931,0,0,70,NA,1786,407,0,0,NA,2263,ROCKFISH
1932,0,200,0,NA,674,50,1000,0,NA,1924,ROCKFISH
1933,0,0,50,NA,36,0,0,125,NA,211,ROCKFISH
1943,NA,982,9767,162716,1146,9137,NA,214,0,183962,ROCKFISH
1944,NA,3505,19129,243700,4790,18922,NA,425,0,290471,ROCKFISH
1945,NA,5578,10167,344072,5481,13318,NA,504,0,379120,ROCKFISH
1946,NA,3366,11706,97467,15892,9395,NA,966,0,138792,ROCKFISH
1947,NA,727,4240,83329,5254,6466,NA,1732,30,101778,ROCKFISH
1948,NA,5341,4816,31011,4464,4298,NA,268,0,50198,ROCKFISH
1949,NA,4461,9937,67541,4977,2255,NA,0,0,89171,ROCKFISH
1950,NA,11268,3317,38096,3543,590,NA,44,0,56858,ROCKFISH
1951,NA,17726,1664,77134,5296,142,NA,7,0,101969,ROCKFISH
1952,NA,15598,408,90254,6603,101,NA,618,0,113582,ROCKFISH
1953,NA,9745,15,147631,1689,160,NA,45,0,159285,ROCKFISH
1954,NA,20140,1001,163795,35284,25,NA,4,0,220249,ROCKFISH